finding_id,session,severity,file_line,finding,impact,suggested_fix,safety,decision,fix_session_id,new_def_id,notes
P1-A1-C01,P1-A1,CRITICAL,[main.py:2117-2183](argus/main.py#L2117-L2183),"`_reconstruct_strategy_state()` — 66-line method is **defined but never called**. The `start()` method docstring at [main.py:195](argus/main.py#L195) lists ""Strategies (with mid-day reconstruction if applicable)"" as a responsibility, and Phase 9's inline comment at [main.py:973](argus/main.py#L973) says ""If mid-day restart, strategies reconstruct their own state"" — but the actual reconstruction path (fetch today's historical bars, replay through `strategy.on_candle()`) is orphaned. Mid-day restart currently relies on whatever state `orchestrator.run_pre_market()` builds, not this code.","Either this mid-day replay was intentionally superseded by orchestrator pre-market logic (in which case 66 lines of dead wire-up is confusingly present and claims to handle scenarios it does not), or a real mid-day-restart recovery path has been silently disabled. Needs operator disposition.","Confirm whether mid-day reconstruction is handled elsewhere. If yes, **delete** the method and update `start()` docstring + Phase 9 comment. If no, **wire** it into Phase 9 (call `await self._reconstruct_strategy_state(warmup_symbols)` after `orchestrator.run_pre_market()`).",weekend-only,fix-now,FIX-03-main-py,,CRITICAL — auto-approve
P1-A1-M01,P1-A1,MEDIUM,[docs/architecture.md:1183-1210](docs/architecture.md#L1183-L1210) vs [main.py:204-1361](argus/main.py#L204-L1361),"**Startup-sequence drift.** `architecture.md` §3.9 lists a 12-phase sequence with sub-phases 7.5, 9.5, 10.5. Actual main.py has **17 phases** (adds 8.5 Regime V2, 10.25 Quality, 10.3 Telemetry, 10.5 Event Routing, 10.7 Counterfactual), and **10.5 semantics have shifted**: docs say ""Set viable universe on DataService"", code at 10.5 is now ""Event Routing"" while the ""Set viable universe"" call moved into Phase 11 ([main.py:1211-1217](argus/main.py#L1211-L1217)).",Architecture.md is the canonical entry point for new contributors and for agent context; its startup description is silently wrong in 5 places. Any new-contributor session using it as ground truth will build an incorrect mental model.,"Rewrite `architecture.md` §3.9 to match the current phase table: enumerate 8.5, 10.25, 10.3, 10.5 (Event Routing), 10.7. Update `main.py`'s own `start()` docstring ([main.py:186-198](argus/main.py#L186-L198)) which also lists only 12 phases.",safe-during-trading,fix-now,FIX-03-main-py,,
P1-A1-M02,P1-A1,MEDIUM,"[main.py:739](argus/main.py#L739), [main.py:792](argus/main.py#L792)","**Triple load of `orchestrator.yaml`.** `load_config()` already parses it into `self._config.orchestrator` at [main.py:206](argus/main.py#L206) (via [core/config.py:1359](argus/core/config.py#L1359)). Phase 8.5 reads the file again at line 739 (`orchestrator_yaml_pre`) to construct `OrchestratorConfig` for the V2 regime classifier. Phase 9 reads it a **third** time at line 792 (`orchestrator_yaml`) for the Orchestrator itself. DEF-093 noted the ""duplicate""; this session confirms it is a triple load.",Three parse sites means three places a YAML-key drift can introduce divergence. Phase 8.5's `orchestrator_config_pre` sees exactly the same file but the independent parse makes it look like a separate config domain.,Use `self._config.orchestrator` everywhere. Delete the ad-hoc re-parses at lines 739-740 and 792-793.,weekend-only,fix-now,FIX-03-main-py,,
P1-A1-M03,P1-A1,MEDIUM,[main.py:2117](argus/main.py#L2117) → nobody / [main.py:2185-2359](argus/main.py#L2185-L2359) shutdown,**`_catalyst_storage` and `regime_history_store` never closed at shutdown.** `CatalystStorage` is `.initialize()`d at [main.py:1114](argus/main.py#L1114); `RegimeHistoryStore` at [main.py:785](argus/main.py#L785). Neither has a `.close()` call in `shutdown()`. `Orchestrator.stop()` ([core/orchestrator.py:146-154](argus/core/orchestrator.py#L146-L154)) does not close the regime-history store it was passed.,SQLite connections rely on process teardown to close. Recent sprints (31.8 S2) specifically called out unclosed/unVACUUMed SQLite as an incident class. Counterfactual + eval stores are both explicitly closed; these two are not — asymmetric.,"Add `await self._catalyst_storage.close()` (if method exists) before step 6 (DB close) in `shutdown()`. For `regime_history_store`, either store it on `self` and close it in `shutdown()`, or have `Orchestrator.stop()` close it.",weekend-only,fix-now,FIX-03-main-py,,
P1-A1-M04,P1-A1,MEDIUM,"[main.py:534](argus/main.py#L534), [main.py:553](argus/main.py#L553), [main.py:572](argus/main.py#L572), [main.py:591](argus/main.py#L591), [main.py:610](argus/main.py#L610), [main.py:629](argus/main.py#L629), [main.py:651](argus/main.py#L651), [main.py:670](argus/main.py#L670), [main.py:689](argus/main.py#L689), [main.py:710](argus/main.py#L710)",**10 direct writes to `PatternBasedStrategy._config_fingerprint`** — a private attribute. The class has a public `config_fingerprint` property getter at [pattern_strategy.py:136](argus/strategies/pattern_strategy.py#L136) but no setter. Assignment reaches inside via the underscore-prefixed name.,"Encapsulation violation; brittle to any refactor of `PatternBasedStrategy`. If the attribute is renamed, 10 call sites break silently (no type error — just an orphan attribute).",Add a `set_config_fingerprint()` method or accept `config_fingerprint` as a constructor kwarg on `PatternBasedStrategy`. Then update the 10 sites.,weekend-only,fix-now,FIX-03-main-py,,
P1-A1-M05,P1-A1,MEDIUM,[main.py:522-715](argus/main.py#L522-L715),"**~200 lines of copy-paste for PatternBasedStrategy loading.** Ten near-identical 18-line blocks for Bull Flag / Flat-Top / Dip-and-Rip / HOD / ABCD / Gap-and-Go / PMH / Micro Pullback / VWAP Bounce / Narrow Range. All differ only in (strategy_name, yaml_filename, loader_function). The list is repeated again verbatim at [main.py:857-906](argus/main.py#L857-L906) for variant spawning, and a **third** time in the `orchestrator.register_strategy` cascade at [main.py:820-839](argus/main.py#L820-L839).",Adding the 11th pattern requires editing ~4 locations in Phase 8 + Phase 9 spawner + register cascade. High drift surface. DEF-144 already acknowledged a factory pattern exists (`build_pattern_from_config`) — only half-applied.,"Define a single tuple list `[(name, yaml_filename, loader), ...]` at the top of Phase 8, iterate once to produce `dict[str, PatternBasedStrategy","None]`, then re-iterate the same dict for registration and variant-spawning. Cuts ~150 lines and collapses the cascade to one loop.",fix-now,FIX-03-main-py,,
P1-A1-M06,P1-A1,MEDIUM,[main.py:1744-1745](argus/main.py#L1744-L1745),"**Silent catalyst-lookup failures.** `except Exception: logger.debug(""Catalyst lookup failed for %s"", signal.symbol)` — at INFO default level, repeated DB failures produce zero visible output, yet the failure path silently degrades signal quality scoring (catalysts default to empty list, lowering `catalyst_quality` score contribution).","During a real catalyst DB outage, operators see no warning. Quality pipeline keeps running with systematically lower quality scores, potentially filtering viable signals.","Raise to `logger.warning(..., exc_info=True)` at least on first N failures, then fall back to rate-limited via `ThrottledLogger` (already available per Sprint 27.75).",weekend-only,fix-now,FIX-03-main-py,,
P1-A1-M07,P1-A1,MEDIUM,[main.py:1115-1116](argus/main.py#L1115-L1116),"**CatalystStorage init error masked.** `except Exception: logger.warning(""CatalystStorage not available for quality pipeline"")` — no `exc_info`, no actual exception text. The string ""not available"" is ambiguous (import error? DB lock? disk full?).","Fail-to-start of quality-pipeline catalyst data is invisible in logs. Contrast with [main.py:948-953](argus/main.py#L948-L953) (experiment spawner) and [main.py:2071](argus/main.py#L2071) (SessionEndEvent), which both pass `exc_info=True`.",Add `exc_info=True` to the `logger.warning()` call.,weekend-only,fix-now,FIX-03-main-py,,
P1-A1-M08,P1-A1,MEDIUM,[main.py:1134-1136](argus/main.py#L1134-L1136),"**Telemetry store wired to strategies AFTER `run_pre_market()`.** Phase 10.3 sets `strategy.eval_buffer.set_store(self._eval_store)` for each strategy, but this occurs *after* `orchestrator.run_pre_market()` ran at line 974 (which in mid-day restart scenarios replays historical bars through strategies that may emit evaluation events). Any evaluations emitted during pre-market reconstruction are written to an in-memory ring buffer with no store attached.",Mid-day restart loses early-session evaluation history until the next buffer flush. Low probability in practice (reconstruction is historical; most telemetry happens live).,Move the `set_store()` loop to run before `orchestrator.run_pre_market()` — after `eval_store.initialize()` but before orchestrator start. Create telemetry store earlier in the sequence (Phase 2.5 alongside DB).,weekend-only,fix-now,FIX-03-main-py,,
P1-A1-M09,P1-A1,MEDIUM,"[main.py:279-295](argus/main.py#L279-L295), [main.py:981-995](argus/main.py#L981-L995), etc.","**Inconsistent health-monitor coverage.** Core components register with `health_monitor.update_component()` (event_bus, database, broker, risk_manager, data_service, scanner, strategy, orchestrator, order_manager, api_server). But these subsystems do NOT: QualityEngine (Phase 10.25), EvaluationEventStore (Phase 10.3), IntradayCandleStore (10.5), CounterfactualTracker (10.7), RegimeClassifierV2 (8.5), UniverseManager (7.5).","Operators' `/api/v1/health` endpoint shows subset of reality. If counterfactual tracker fails, healthcheck is green.",Add `health_monitor.update_component(...)` calls for each optional subsystem at its Phase entry with HEALTHY/DEGRADED based on `if xxx_config.enabled`.,weekend-only,fix-now,FIX-03-main-py,,
